               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.024965,            0.015903,           0.0036603,             0.82878,             0.79025,             0.82112,             0.56555,            0.027336,           0.0085727,           0.0059222,           0.0073666,           0.0073666,           0.0073666
                 135,            0.025068,            0.015809,           0.0038633,             0.81289,             0.80178,             0.82071,             0.56578,            0.027733,           0.0087765,           0.0054666,           0.0073468,           0.0073468,           0.0073468
                 136,              0.0251,            0.016048,           0.0035776,             0.86585,             0.73628,             0.81607,             0.55959,            0.027699,           0.0090797,           0.0056443,            0.007327,            0.007327,            0.007327
                 137,            0.024686,            0.016275,           0.0039642,             0.81249,             0.76216,             0.80472,             0.56428,            0.027658,           0.0087829,           0.0068333,           0.0073072,           0.0073072,           0.0073072
                 138,            0.024748,            0.015871,           0.0040228,             0.80956,             0.73858,             0.79275,              0.5472,            0.027641,           0.0088434,           0.0061483,           0.0072874,           0.0072874,           0.0072874
                 139,            0.024864,            0.016488,            0.003926,             0.79624,              0.7522,             0.79753,             0.56124,            0.028083,           0.0092208,           0.0069921,           0.0072676,           0.0072676,           0.0072676
                 140,            0.024696,            0.015746,           0.0035679,             0.82324,             0.77168,             0.81679,             0.56262,            0.027598,            0.009015,           0.0062189,           0.0072478,           0.0072478,           0.0072478
                 141,            0.024612,            0.015855,           0.0033543,             0.80626,             0.77222,              0.8155,             0.55822,            0.027729,           0.0088184,           0.0062345,            0.007228,            0.007228,            0.007228
                 142,            0.025239,             0.01598,           0.0033766,             0.80656,             0.75644,             0.80117,             0.56043,            0.027439,           0.0085689,           0.0058721,           0.0072082,           0.0072082,           0.0072082
                 143,            0.024871,             0.01539,           0.0034215,             0.83432,             0.77921,             0.81955,             0.57654,            0.027241,           0.0085076,           0.0052977,           0.0071884,           0.0071884,           0.0071884
                 144,            0.024732,            0.015454,           0.0037685,             0.80613,             0.78725,             0.81917,             0.57246,            0.027854,           0.0084432,           0.0062577,           0.0071686,           0.0071686,           0.0071686
                 145,            0.024614,            0.015798,            0.003481,             0.82539,             0.79616,             0.81985,             0.57603,            0.027925,           0.0085464,           0.0053681,           0.0071488,           0.0071488,           0.0071488
                 146,            0.024546,            0.015959,           0.0033264,             0.81746,             0.78841,             0.82186,             0.57913,            0.028417,            0.009173,           0.0042446,            0.007129,            0.007129,            0.007129
                 147,            0.024341,            0.016002,           0.0034139,             0.80795,             0.80073,             0.80907,             0.56572,             0.02779,           0.0088308,           0.0051473,           0.0071092,           0.0071092,           0.0071092
                 148,            0.024469,            0.015728,           0.0035106,             0.85093,             0.76439,             0.81598,             0.56759,            0.027518,           0.0089221,           0.0057376,           0.0070894,           0.0070894,           0.0070894
                 149,            0.024478,            0.015887,           0.0032631,             0.77721,             0.80024,             0.80578,              0.5563,            0.027278,           0.0089334,           0.0065861,           0.0070696,           0.0070696,           0.0070696
                 150,            0.024417,            0.015765,           0.0035016,             0.81726,             0.81211,              0.8338,             0.57679,            0.027663,           0.0088989,           0.0052217,           0.0070498,           0.0070498,           0.0070498
                 151,            0.024273,            0.015672,           0.0034227,             0.80686,             0.80749,             0.82742,              0.5715,            0.026968,           0.0088462,           0.0059859,             0.00703,             0.00703,             0.00703
                 152,            0.024241,            0.015582,           0.0035709,             0.81717,             0.79605,             0.81368,             0.57069,            0.027086,           0.0093673,           0.0054706,           0.0070102,           0.0070102,           0.0070102
                 153,            0.024258,             0.01557,           0.0036598,             0.83066,             0.77359,             0.82341,             0.57919,            0.026713,           0.0085993,           0.0078245,           0.0069904,           0.0069904,           0.0069904
                 154,            0.023836,            0.015811,           0.0034058,             0.79387,              0.8063,             0.82013,              0.5708,             0.02737,           0.0085834,           0.0054057,           0.0069706,           0.0069706,           0.0069706
