               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.031092,             0.01888,           0.0076626,             0.79315,             0.68501,             0.75052,             0.50853,            0.028925,           0.0083688,            0.008819,           0.0082378,           0.0082378,           0.0082378
                  91,            0.031168,            0.019379,           0.0071887,             0.79676,             0.72511,             0.80041,             0.53788,            0.029023,           0.0083946,           0.0061407,            0.008218,            0.008218,            0.008218
                  92,            0.030424,            0.019439,           0.0075109,             0.74685,             0.76705,             0.78651,             0.51313,            0.030412,           0.0085156,           0.0069296,           0.0081982,           0.0081982,           0.0081982
                  93,            0.030859,            0.019348,           0.0073182,             0.73807,             0.76029,             0.78801,             0.53904,            0.029224,           0.0084323,           0.0072595,           0.0081784,           0.0081784,           0.0081784
                  94,            0.030657,            0.019355,           0.0079353,             0.77649,             0.70334,             0.77698,             0.51661,            0.030613,           0.0085698,           0.0073603,           0.0081586,           0.0081586,           0.0081586
                  95,             0.03064,            0.019318,           0.0076667,             0.75939,             0.75545,             0.79503,             0.53943,            0.029461,           0.0084554,           0.0069056,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030673,            0.019497,           0.0075391,             0.80901,             0.74798,             0.79942,             0.53278,            0.029491,           0.0082785,           0.0057208,            0.008119,            0.008119,            0.008119
                  97,            0.030342,            0.019277,           0.0069913,             0.78376,             0.71346,             0.77372,             0.50259,            0.030223,           0.0087965,            0.006532,           0.0080992,           0.0080992,           0.0080992
                  98,            0.030446,            0.019414,           0.0066638,             0.80687,             0.74424,             0.80533,             0.54038,            0.028935,           0.0084099,            0.006949,           0.0080794,           0.0080794,           0.0080794
                  99,            0.030673,            0.019456,           0.0067795,             0.78577,             0.77505,             0.81927,             0.53582,            0.031588,           0.0087241,           0.0094131,           0.0080596,           0.0080596,           0.0080596
                 100,            0.030105,            0.018725,           0.0072634,              0.7933,             0.75389,             0.79401,             0.52849,            0.029248,           0.0084918,           0.0072546,           0.0080398,           0.0080398,           0.0080398
                 101,            0.030213,            0.019362,           0.0068219,             0.79231,             0.71481,             0.78876,             0.52203,            0.028724,           0.0088504,           0.0084917,             0.00802,             0.00802,             0.00802
                 102,            0.030124,            0.018795,            0.007076,             0.77608,             0.72932,             0.79498,             0.54728,            0.029245,           0.0085559,           0.0079066,           0.0080002,           0.0080002,           0.0080002
                 103,            0.030155,            0.018833,           0.0065876,             0.81125,             0.76908,             0.82414,              0.5587,            0.028594,           0.0082199,           0.0052389,           0.0079804,           0.0079804,           0.0079804
                 104,            0.029566,            0.018786,           0.0071117,             0.75402,             0.74195,             0.79569,             0.54209,            0.028276,           0.0084016,           0.0066528,           0.0079606,           0.0079606,           0.0079606
                 105,            0.029929,            0.019185,           0.0071084,              0.8003,             0.70889,             0.78694,             0.53962,            0.028909,           0.0086511,            0.010889,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029771,            0.019139,           0.0063492,              0.8018,             0.70891,             0.79447,             0.53689,            0.028812,           0.0083299,           0.0071094,            0.007921,            0.007921,            0.007921
                 107,            0.030017,            0.019053,           0.0063277,             0.78995,             0.69214,             0.76218,             0.51839,            0.029055,           0.0086305,           0.0088009,           0.0079012,           0.0079012,           0.0079012
                 108,            0.029675,            0.018991,            0.006501,              0.8034,             0.74264,             0.80493,             0.54319,            0.029084,           0.0082822,           0.0094709,           0.0078814,           0.0078814,           0.0078814
                 109,            0.029575,             0.01846,           0.0064834,             0.79316,             0.73906,             0.79818,             0.54073,            0.028738,           0.0088342,           0.0066909,           0.0078616,           0.0078616,           0.0078616
                 110,            0.029265,            0.018445,           0.0063836,             0.74668,             0.76429,             0.79037,             0.52023,            0.029181,           0.0089183,           0.0070636,           0.0078418,           0.0078418,           0.0078418
                 111,            0.029396,            0.018609,           0.0068909,             0.83366,             0.73934,             0.81564,             0.54594,            0.028609,           0.0083714,           0.0067047,            0.007822,            0.007822,            0.007822
                 112,            0.029405,            0.018302,            0.007047,             0.79559,             0.75938,              0.8079,             0.53649,            0.029688,           0.0083372,           0.0062465,           0.0078022,           0.0078022,           0.0078022
                 113,            0.029139,            0.018982,           0.0065627,             0.79549,             0.76761,             0.80795,             0.54232,            0.028898,           0.0087404,           0.0064183,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029146,            0.018311,           0.0064258,              0.7812,             0.77045,             0.79716,             0.54235,             0.02876,           0.0083086,           0.0062428,           0.0077626,           0.0077626,           0.0077626
                 115,            0.029112,             0.01851,           0.0066066,             0.78748,             0.73469,             0.78071,             0.53473,            0.028402,           0.0084923,           0.0078839,           0.0077428,           0.0077428,           0.0077428
                 116,            0.029096,            0.018695,           0.0064356,             0.80259,             0.75447,             0.80218,             0.54926,            0.028485,           0.0082556,           0.0082725,            0.007723,            0.007723,            0.007723
                 117,            0.029014,            0.018472,           0.0061949,             0.82307,             0.71723,             0.80057,             0.53278,            0.029202,           0.0086859,           0.0058626,           0.0077032,           0.0077032,           0.0077032
                 118,            0.029342,            0.018642,            0.006561,             0.79711,             0.74833,             0.79944,             0.55222,             0.02852,           0.0088031,           0.0061129,           0.0076834,           0.0076834,           0.0076834
